Count,Name,Color,Contents,ContentsRTF,Hyperlink,Layer,Linetype,Linetype Scale,Lineweight,Plot Style,Position X,Position Y,Position Z,Rotation,ShowBorders,Width
1,MText,21,Pipe - (44)\P305mm\P0.86m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (44)\par 305mm\par 0.86m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799067.96,2423803.03,0.00,354.09,True,10.60
1,MText,21,Pipe - (56)\P305mm\P9.67m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (56)\par 305mm\par 9.67m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799037.89,2423721.54,-5.42,7.25,True,10.60
1,MText,21,Pipe - (68)\P305mm\P6.38m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (68)\par 305mm\par 6.38m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799090.73,2423660.57,-5.06,95.16,True,10.60
1,MText,21,Pipe - (69)\P305mm\P6.61m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (69)\par 305mm\par 6.61m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799056.30,2423655.88,-3.61,91.98,True,10.60
1,MText,21,Pipe - (66)\P305mm\P5.50m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (66)\par 305mm\par 5.50m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799074.69,2423646.01,0.00,6.27,True,10.60
1,MText,21,Pipe - (67)\P305mm\P5.29m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (67)\par 305mm\par 5.29m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799092.28,2423649.37,0.00,10.40,True,10.60
1,MText,21,Pipe - (72)\P305mm\P9.14m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (72)\par 305mm\par 9.14m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798997.76,2423606.30,-3.94,91.20,True,10.60
1,MText,blue,Structure - (8)\P0.00mm\P-1.27m\P0.00m2,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red0\green0\blue255;}
\pard\plain\f0\cf0\fs48 Structure - (8)\par 0.00mm\par -1.27m\par 0.00m2\par },,0,Continuous,1.00,ByLineWeight Default,Color_5,798922.13,2423977.23,0.00,0.00,True,14.17
1,MText,21,Pipe - (70)\P305mm\P5.38m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (70)\par 305mm\par 5.38m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799063.63,2423671.70,0.00,96.52,True,10.60
1,MText,21,Pipe - (71)\P305mm\P5.63m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (71)\par 305mm\par 5.63m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799007.99,2423632.94,0.00,91.45,True,10.60
1,MText,21,Pipe - (59)\P305mm\P7.50m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (59)\par 305mm\par 7.50m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799008.14,2423709.40,-3.63,94.95,True,10.60
1,MText,21,Pipe - (60)\P305mm\P9.14m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (60)\par 305mm\par 9.14m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799009.60,2423682.15,-4.00,91.50,True,10.60
1,MText,21,Pipe - (57)\P305mm\P4.64m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (57)\par 305mm\par 4.64m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799023.09,2423719.89,0.00,352.07,True,10.60
1,MText,21,Pipe - (58)\P305mm\P7.38m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (58)\par 305mm\par 7.38m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799008.83,2423733.60,-6.05,81.88,True,10.60
1,MText,21,Pipe - (63)\P305mm\P7.88m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (63)\par 305mm\par 7.88m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799036.67,2423643.68,0.00,8.27,True,10.60
1,MText,21,Pipe - (65)\P305mm\P5.82m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (65)\par 305mm\par 5.82m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799055.80,2423644.51,0.00,2.90,True,10.60
1,MText,21,Pipe - (61)\P305mm\P8.19m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (61)\par 305mm\par 8.19m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799010.99,2423653.75,-4.38,94.27,True,10.60
1,MText,21,Pipe - (62)\P305mm\P4.58m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (62)\par 305mm\par 4.58m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799013.01,2423640.35,0.00,2.20,True,10.60
1,MText,21,Pipe - (38)\P305mm\P6.27m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (38)\par 305mm\par 6.27m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798950.56,2423812.08,0.00,0.99,True,10.60
1,MText,21,Pipe - (15)\P305mm\P6.00m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (15)\par 305mm\par 6.00m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799048.54,2423852.44,-4.09,295.27,True,10.60
1,MText,21,Pipe - (16)\P305mm\P6.27m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (16)\par 305mm\par 6.27m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799059.23,2423826.11,-4.04,294.01,True,10.60
